 Supply Air Temperature, Supply Air Temperature Heating Set Point, Supply Air Temperature Cooling Set Point, Outdoor Air Temperature, Mixed Air Temperature, Return Air Temperature, Outdoor Air Damper Control Signal  , Return Air Damper Control Signal, Exhaust Air Damper Control Signal    , Cooling Coil Valve Control Signal, Heating Coil Valve Control Signal,fault type
68.24,50.0,86.0,56.59,67.34,70.78,0.15,1.0,0.0,0.0,0.0,F1
66.44,50.0,50.0,63.26,62.21,70.85,1.0,0.0,0.5,1.0,0.0,F1
66.31,50.0,50.0,63.08,61.32,72.06,1.0,0.0,0.5,1.0,0.0,F1
69.08,50.0,83.02,56.98,68.45,71.35,0.15,1.0,0.0,0.0,0.0,F1
65.3,50.0,50.0,62.57,60.68,70.03,1.0,0.0,0.5,1.0,0.0,F1
66.15,50.0,50.0,65.08,61.38,72.11,1.0,0.0,0.5,1.0,0.0,F1
69.59,50.0,79.31,59.42,68.65,71.77,0.15,1.0,0.0,0.0,0.0,F1
65.84,50.0,50.0,62.9,61.31,71.96,1.0,0.0,0.5,1.0,0.0,F1
70.22,50.0,71.7,60.45,69.32,72.36,0.15,1.0,0.0,0.0,0.0,F1
65.84,50.0,50.0,62.9,61.41,71.89,1.0,0.0,0.5,1.0,0.0,F1
67.74,50.0,50.0,64.8,63.24,71.81,1.0,0.0,0.5,1.0,0.0,F1
65.38,50.0,50.0,63.16,61.07,71.79,1.0,0.0,0.5,1.0,0.0,F1
66.3,50.0,50.0,63.5,61.54,71.86,1.0,0.0,0.5,1.0,0.0,F1
66.61,50.0,50.0,63.95,62.27,71.59,1.0,0.0,0.5,1.0,0.0,F1
65.74,50.0,50.0,64.06,60.21,70.99,1.0,0.0,0.5,1.0,0.0,F1
67.78,50.0,50.0,64.8,63.72,71.83,1.0,0.0,0.5,1.0,0.0,F1
67.19,50.0,50.0,64.14,62.42,72.01,1.0,0.0,0.5,1.0,0.0,F1
67.85,50.0,86.0,56.33,66.74,70.19,0.15,1.0,0.0,0.0,0.0,F1
65.28,50.0,50.0,62.12,60.36,70.85,1.0,0.0,0.5,1.0,0.0,F1
66.75,50.0,50.0,63.17,62.9,70.93,1.0,0.0,0.5,1.0,0.0,F1
69.51,50.0,80.89,59.42,68.51,71.7,0.15,1.0,0.0,0.0,0.0,F1
68.44,50.0,85.25,56.98,67.7,70.97,0.15,1.0,0.0,0.0,0.0,F1
64.66,50.0,54.53,61.5,59.56,70.76,1.0,0.0,0.5,1.0,0.0,F1
66.96,60.94,86.0,56.39,65.56,68.61,0.15,1.0,0.0,0.0,0.0,F1
66.23,50.0,50.0,63.51,61.85,71.33,1.0,0.0,0.5,1.0,0.0,F1
71.84,50.0,86.0,58.09,70.9,71.24,0.08625,1.0,0.0,0.0,0.0,F1
67.25,50.0,50.0,64.53,63.31,71.65,1.0,0.0,0.5,1.0,0.0,F1
67.16,50.0,50.0,64.06,62.29,71.11,1.0,0.0,0.5,1.0,0.0,F1
67.27,55.92,86.0,56.61,66.11,69.57,0.15,1.0,0.0,0.0,0.0,F1
67.25,66.15,86.0,58.97,65.88,69.07,0.15,1.0,0.0,0.0,0.091001001,F1
64.64,50.0,55.37,61.49,59.46,69.53,1.0,0.0,0.5,1.0,0.0,F1
67.99,55.56,86.0,60.54,66.33,69.37,0.15,1.0,0.0,0.0,0.0,F1
66.69,50.0,50.0,63.95,61.87,71.6,1.0,0.0,0.5,1.0,0.0,F1
66.86,62.78,86.0,56.39,65.33,68.5,0.15,1.0,0.0,0.0,0.0,F1
68.05,69.43,86.0,56.27,66.33,69.25,0.15,1.0,0.0,0.0,0.239718516,F1
66.58,50.0,50.0,63.95,62.04,71.59,1.0,0.0,0.5,1.0,0.0,F1
65.25,50.0,50.0,61.87,60.99,70.48,1.0,0.0,0.5,1.0,0.0,F1
66.98,50.0,50.0,64.06,61.89,71.13,1.0,0.0,0.5,1.0,0.0,F1
65.69,50.0,50.0,63.51,61.35,71.24,1.0,0.0,0.5,1.0,0.0,F1
65.23,50.0,50.0,61.83,60.81,70.89,1.0,0.0,0.5,1.0,0.0,F1
57.37,57.76,86.0,67.0,64.44,63.73,0.15,1.0,0.0,0.0,0.309245403,F2
54.51,55.03,86.0,65.67,64.76,64.34,0.15,1.0,0.0,0.0,0.314536458,F2
52.9,53.28,86.0,66.89,63.43,62.25,0.15,1.0,0.0,0.0,0.25068288,F2
52.39,52.56,86.0,67.62,63.82,62.55,0.15,1.0,0.0,0.0,0.219291695,F2
73.76,86.0,86.0,51.62,65.47,70.43,0.15,1.0,0.0,0.0,1.0,F2
63.85,63.97,86.0,63.47,65.88,66.86,0.15,1.0,0.0,0.0,0.388842107,F2
59.97,58.76,86.0,59.41,64.46,66.02,0.15,1.0,0.0,0.0,0.253991068,F2
54.89,54.75,86.0,66.52,65.13,64.13,0.15,1.0,0.0,0.0,0.286153157,F2
63.47,60.52,86.0,56.48,65.15,68.66,0.15,1.0,0.0,0.0,0.396768942,F2
60.94,60.32,86.0,56.0,63.62,66.47,0.15,1.0,0.0,0.0,0.395037004,F2
54.25,54.48,86.0,68.25,63.94,62.67,0.15,1.0,0.0,0.0,0.302494222,F2
61.11,60.82,86.0,56.0,63.69,66.56,0.15,1.0,0.0,0.0,0.376443815,F2
64.59,64.91,86.0,62.64,65.88,67.16,0.15,1.0,0.0,0.0,0.410612326,F2
67.72,86.0,86.0,51.07,62.63,64.81,0.15,1.0,0.0,0.0,1.0,F2
56.96,57.22,86.0,67.0,64.29,63.55,0.15,1.0,0.0,0.0,0.322234827,F2
62.64,62.53,86.0,64.67,65.58,66.28,0.15,1.0,0.0,0.0,0.340804812,F2
74.23,86.0,86.0,51.62,65.67,70.82,0.15,1.0,0.0,0.0,1.0,F2
74.48,86.0,86.0,52.62,66.73,72.07,0.15,1.0,0.0,0.0,1.0,F2
60.92,60.49,86.0,56.0,63.7,66.57,0.15,1.0,0.0,0.0,0.385514307,F2
52.37,51.84,86.0,66.64,64.34,63.13,0.15,1.0,0.0,0.0,0.180760649,F2
60.21,59.87,86.0,57.03,64.15,66.0,0.15,1.0,0.0,0.0,0.334205179,F2
52.93,51.73,86.0,67.71,64.34,62.91,0.15,1.0,0.0,0.0,0.128978463,F2
51.69,52.04,86.0,67.95,63.99,62.09,0.15,1.0,0.0,0.0,0.25977967,F2
52.67,53.42,86.0,66.89,63.55,62.28,0.15,1.0,0.0,0.0,0.279319838,F2
53.75,53.57,86.0,68.56,65.31,63.59,0.15,1.0,0.0,0.0,0.229554799,F2
52.11,52.5,86.0,67.95,63.87,62.29,0.15,1.0,0.0,0.0,0.238765421,F2
57.82,57.92,86.0,61.9,64.58,65.28,0.15,1.0,0.0,0.0,0.3257575,F2
75.53,86.0,86.0,52.22,66.49,71.87,0.15,1.0,0.0,0.0,1.0,F2
55.41,55.58,86.0,65.0,64.95,64.96,0.15,1.0,0.0,0.0,0.314730484,F2
51.23,51.07,86.0,67.71,64.19,62.74,0.15,1.0,0.0,0.0,0.195175409,F2
55.05,54.11,86.0,67.28,64.98,63.94,0.15,1.0,0.0,0.0,0.238188375,F2
59.08,59.85,86.0,65.28,65.39,65.38,0.15,1.0,0.0,0.0,0.354202004,F2
75.44,86.0,86.0,52.2,66.94,72.48,0.15,1.0,0.0,0.0,1.0,F2
74.63,86.0,86.0,51.62,65.84,71.04,0.15,1.0,0.0,0.0,1.0,F2
60.05,60.71,86.0,64.87,65.32,65.44,0.15,1.0,0.0,0.0,0.349296365,F2
73.01,86.0,86.0,51.07,63.72,67.88,0.15,1.0,0.0,0.0,1.0,F2
51.27,51.87,86.0,67.55,63.89,62.46,0.15,1.0,0.0,0.0,0.233332431,F2
53.65,53.18,86.0,66.89,63.74,62.58,0.15,1.0,0.0,0.0,0.222654797,F2
74.56,86.0,86.0,51.07,64.77,69.59,0.15,1.0,0.0,0.0,1.0,F2
55.03,55.66,86.0,67.0,63.97,63.07,0.15,1.0,0.0,0.0,0.327985823,F2
64.78,50.0,86.0,55.2,65.52,68.57,0.15,1.0,0.0,0.0,0.0,F3
63.71,50.69,86.0,52.98,63.95,66.95,0.15,1.0,0.0,0.0,0.0,F3
64.15,56.63,86.0,52.8,64.71,68.01,0.15,1.0,0.0,0.0,0.0,F3
72.17,72.31,86.0,49.26,66.28,71.47,0.15,1.0,0.0,0.0,0.344886196,F3
63.99,50.0,86.0,52.76,64.76,67.74,0.15,1.0,0.0,0.0,0.0,F3
64.5,50.0,86.0,53.7,64.79,68.12,0.15,1.0,0.0,0.0,0.0,F3
67.37,67.37,86.0,51.06,64.92,69.16,0.15,1.0,0.0,0.0,0.295757199,F3
69.91,70.03,86.0,49.62,65.75,70.61,0.15,1.0,0.0,0.0,0.340784187,F3
70.15,69.86,86.0,50.0,65.42,70.21,0.15,1.0,0.0,0.0,0.309958426,F3
64.1,50.0,86.0,52.56,64.38,67.69,0.15,1.0,0.0,0.0,0.0,F3
64.37,50.0,86.0,54.08,64.93,68.22,0.15,1.0,0.0,0.0,0.0,F3
64.4,50.0,86.0,54.45,64.99,68.17,0.15,1.0,0.0,0.0,0.0,F3
63.72,51.12,86.0,52.98,63.84,66.9,0.15,1.0,0.0,0.0,0.0,F3
72.55,72.94,86.0,49.22,66.33,71.69,0.15,1.0,0.0,0.0,0.345461623,F3
64.63,50.0,82.03,53.74,65.2,68.29,0.15,1.0,0.0,0.0,0.0,F3
71.87,71.4,86.0,49.26,66.12,71.14,0.15,1.0,0.0,0.0,0.312372221,F3
64.64,50.04,86.0,52.8,65.61,68.47,0.15,1.0,0.0,0.0,0.0,F3
64.54,50.0,86.0,54.45,65.03,68.15,0.15,1.0,0.0,0.0,0.0,F3
64.7,50.0,86.0,52.64,65.26,68.28,0.15,1.0,0.0,0.0,0.0,F3
65.37,50.0,72.93,56.12,66.01,68.98,0.15,1.0,0.0,0.0,0.0,F3
69.72,69.45,86.0,49.95,65.37,70.09,0.15,1.0,0.0,0.0,0.296816166,F3
64.77,50.0,86.0,53.48,65.19,68.41,0.15,1.0,0.0,0.0,0.0,F3
74.76,77.07,86.0,49.33,66.3,71.34,0.15,1.0,0.0,0.0,0.403423335,F3
63.79,50.0,86.0,51.85,64.2,67.34,0.15,1.0,0.0,0.0,0.0,F3
64.34,50.0,86.0,54.08,64.85,68.21,0.15,1.0,0.0,0.0,0.0,F3
65.04,50.0,79.43,55.71,65.99,68.79,0.15,1.0,0.0,0.0,0.0,F3
68.16,68.18,86.0,50.79,65.13,69.55,0.15,1.0,0.0,0.0,0.298594141,F3
64.1,50.0,86.0,52.56,64.48,67.73,0.15,1.0,0.0,0.0,0.0,F3
63.86,50.0,86.0,52.76,64.59,67.48,0.15,1.0,0.0,0.0,0.0,F3
64.04,50.0,86.0,52.45,64.19,67.59,0.15,1.0,0.0,0.0,0.0,F3
68.09,67.87,86.0,50.61,64.97,69.27,0.15,1.0,0.0,0.0,0.286667372,F3
63.24,55.45,86.0,52.44,63.43,66.54,0.15,1.0,0.0,0.0,0.0,F3
64.57,50.0,86.0,54.08,65.2,68.49,0.15,1.0,0.0,0.0,0.0,F3
64.51,50.0,86.0,54.45,65.05,68.16,0.15,1.0,0.0,0.0,0.0,F3
64.82,50.0,80.34,53.74,65.2,68.46,0.15,1.0,0.0,0.0,0.0,F3
70.96,70.45,86.0,49.62,65.83,70.91,0.15,1.0,0.0,0.0,0.286567235,F3
70.49,69.93,86.0,50.0,65.56,70.45,0.15,1.0,0.0,0.0,0.298032012,F3
65.42,50.0,72.87,56.12,66.06,69.02,0.15,1.0,0.0,0.0,0.0,F3
72.15,72.62,86.0,49.26,66.16,71.39,0.15,1.0,0.0,0.0,0.337441484,F3
64.97,50.0,77.33,54.64,65.66,68.65,0.15,1.0,0.0,0.0,0.0,F3
65.36,65.48,86.0,59.48,65.28,67.31,0.15,1.0,0.0,0.0,0.367402966,F4
76.62,86.0,86.0,53.08,67.63,72.61,0.15,1.0,0.0,0.0,1.0,F4
55.73,55.17,86.0,61.41,63.24,63.74,0.15,1.0,0.0,0.0,0.19128481,F4
71.54,86.0,86.0,53.28,63.36,66.02,0.15,1.0,0.0,0.0,1.0,F4
66.43,66.22,86.0,54.23,64.78,68.25,0.15,1.0,0.0,0.0,0.399174766,F4
66.55,66.48,86.0,53.96,64.92,68.6,0.15,1.0,0.0,0.0,0.391240398,F4
57.83,57.22,86.0,55.43,63.2,64.81,0.15,1.0,0.0,0.0,0.29727879,F4
66.32,66.51,86.0,54.32,65.33,68.57,0.15,1.0,0.0,0.0,0.382812297,F4
53.25,56.96,86.0,57.44,61.52,62.17,0.15,1.0,0.0,0.0,0.244930887,F4
60.81,60.42,86.0,56.57,63.66,65.63,0.15,1.0,0.0,0.0,0.278635716,F4
63.97,64.63,86.0,60.56,65.03,66.84,0.15,1.0,0.0,0.0,0.39188632,F4
57.2,57.13,86.0,55.43,63.4,65.06,0.15,1.0,0.0,0.0,0.314835273,F4
67.08,67.04,86.0,59.16,65.53,67.96,0.15,1.0,0.0,0.0,0.374054191,F4
68.88,68.15,86.0,53.48,65.59,69.69,0.15,1.0,0.0,0.0,0.416193462,F4
60.37,61.51,86.0,56.65,62.95,65.01,0.15,1.0,0.0,0.0,0.339628919,F4
64.1,64.45,86.0,60.56,65.04,66.86,0.15,1.0,0.0,0.0,0.372816655,F4
65.63,65.94,86.0,54.23,64.76,68.31,0.15,1.0,0.0,0.0,0.423687771,F4
68.34,68.01,86.0,53.46,65.39,69.32,0.15,1.0,0.0,0.0,0.403795981,F4
55.85,55.75,86.0,56.97,63.05,64.23,0.15,1.0,0.0,0.0,0.249199552,F4
61.37,62.49,86.0,56.26,63.32,65.26,0.15,1.0,0.0,0.0,0.368863191,F4
77.74,86.0,86.0,53.16,68.16,73.28,0.15,1.0,0.0,0.0,1.0,F4
54.42,55.06,86.0,60.47,62.82,63.32,0.15,1.0,0.0,0.0,0.285041684,F4
62.58,63.17,86.0,61.28,64.87,66.18,0.15,1.0,0.0,0.0,0.379065644,F4
55.57,55.16,86.0,59.66,63.3,64.02,0.15,1.0,0.0,0.0,0.242400366,F4
55.95,55.3,86.0,61.41,63.26,63.59,0.15,1.0,0.0,0.0,0.212029615,F4
67.9,67.84,86.0,53.48,65.48,69.54,0.15,1.0,0.0,0.0,0.446783244,F4
53.38,53.42,86.0,61.68,62.49,62.49,0.15,1.0,0.0,0.0,0.008718986,F4
60.43,60.43,86.0,58.69,63.77,64.9,0.15,1.0,0.0,0.0,0.320425453,F4
59.79,59.49,86.0,57.32,63.38,64.9,0.15,1.0,0.0,0.0,0.277410296,F4
77.06,75.01,86.0,53.11,68.75,74.15,0.15,1.0,0.0,0.0,0.855730863,F4
54.33,58.37,86.0,57.44,61.22,61.96,0.15,1.0,0.0,0.0,0.360013467,F4
76.71,86.0,86.0,53.08,67.68,72.66,0.15,1.0,0.0,0.0,1.0,F4
56.72,56.24,86.0,56.42,63.07,64.67,0.15,1.0,0.0,0.0,0.244590622,F4
76.6,85.0,86.0,53.14,68.41,73.76,0.15,1.0,0.0,0.0,1.0,F4
74.23,69.46,86.0,53.19,68.4,73.5,0.15,1.0,0.0,0.0,0.516024334,F4
53.83,52.39,86.0,62.21,62.87,63.07,0.15,1.0,0.0,0.0,0.000812994,F4
64.3,64.36,86.0,60.56,65.1,66.69,0.15,1.0,0.0,0.0,0.350067621,F4
72.43,67.96,86.0,53.36,67.48,72.3,0.15,1.0,0.0,0.0,0.454830573,F4
77.19,86.0,86.0,53.08,67.55,72.56,0.15,1.0,0.0,0.0,1.0,F4
78.25,86.0,86.0,53.27,68.59,73.97,0.15,1.0,0.0,0.0,1.0,F4
68.6,68.45,86.0,55.32,65.6,69.56,0.15,1.0,0.0,0.0,0.283583563,F5
61.33,50.0,59.35,58.84,58.85,68.2,1.0,0.0,0.5,0.249206965,0.0,F5
65.45,50.0,68.32,58.88,65.88,68.66,0.67709658,1.0,0.0,0.0,0.0,F5
72.04,86.0,86.0,52.87,60.91,64.08,0.15,1.0,0.0,0.0,1.0,F5
68.02,67.99,86.0,56.62,65.95,69.24,0.15,1.0,0.0,0.0,0.278775684,F5
68.96,68.78,86.0,53.87,65.08,69.9,0.15,1.0,0.0,0.0,0.301795673,F5
63.3,50.0,86.0,54.85,63.41,66.74,0.15,1.0,0.0,0.0,0.0,F5
70.01,69.36,86.0,52.95,64.65,70.18,0.15,1.0,0.0,0.0,0.332679866,F5
68.31,68.41,86.0,56.87,66.02,69.34,0.15,1.0,0.0,0.0,0.284426783,F5
62.83,50.0,62.63,58.87,58.73,67.71,1.0,0.0,0.5,0.151847212,0.0,F5
64.56,50.0,78.1,56.8,64.92,67.91,0.15,1.0,0.0,0.0,0.0,F5
67.91,68.09,86.0,56.62,65.87,69.23,0.15,1.0,0.0,0.0,0.284817499,F5
64.66,50.0,73.06,56.8,64.87,68.25,0.15,1.0,0.0,0.0,0.0,F5
64.36,50.0,84.34,56.93,64.76,67.7,0.15,1.0,0.0,0.0,0.0,F5
67.36,50.0,86.0,61.79,67.6,69.14,0.15,1.0,0.0,0.0,0.0,F5
66.5,63.22,86.0,59.8,66.73,68.38,0.15,1.0,0.0,0.0,0.0,F5
68.45,68.16,86.0,56.73,65.8,69.27,0.15,1.0,0.0,0.0,0.285690642,F5
64.55,50.0,79.46,56.8,65.02,67.89,0.15,1.0,0.0,0.0,0.0,F5
67.24,50.0,86.0,61.86,67.18,69.3,0.15,1.0,0.0,0.0,0.0,F5
68.41,68.22,86.0,56.74,66.02,69.35,0.15,1.0,0.0,0.0,0.291224749,F5
66.57,63.05,86.0,59.8,66.8,68.4,0.15,1.0,0.0,0.0,0.0,F5
65.01,50.0,70.42,58.88,65.22,68.47,0.15,1.0,0.0,0.0,0.0,F5
65.58,50.0,67.66,59.5,65.95,68.69,1.0,0.995031922,0.002484037,0.0,0.0,F5
65.51,50.0,67.2,59.5,64.25,68.62,1.0,0.718092696,0.140953662,0.0,0.0,F5
82.53,86.0,86.0,54.06,68.98,76.04,0.15,1.0,0.0,0.0,1.0,F5
61.84,50.0,59.34,59.24,58.25,68.58,1.0,0.0,0.5,0.235100405,0.0,F5
64.56,50.0,76.56,56.8,65.07,67.98,0.15,1.0,0.0,0.0,0.0,F5
70.08,69.47,86.0,52.95,64.91,70.19,0.15,1.0,0.0,0.0,0.328728008,F5
66.93,50.0,81.67,60.62,67.58,69.76,0.15,1.0,0.0,0.0,0.0,F5
68.44,68.32,86.0,57.15,65.98,69.41,0.15,1.0,0.0,0.0,0.289572834,F5
61.47,50.0,58.09,60.04,58.49,69.09,1.0,0.0,0.5,0.118085995,0.0,F5
68.35,67.97,86.0,56.82,65.72,69.46,0.15,1.0,0.0,0.0,0.266627639,F5
68.11,68.06,86.0,56.91,65.74,69.34,0.15,1.0,0.0,0.0,0.29088089,F5
70.26,69.34,86.0,52.93,64.99,70.5,0.15,1.0,0.0,0.0,0.303776669,F5
66.89,50.0,84.78,60.03,67.08,69.56,0.15,1.0,0.0,0.0,0.0,F5
